date,bitcoin_price,ethereum_price,btc_price,monero_price,dashpay_price,bitcoin_volume,ethereum_volume,btc_volume,monero_volume,dashpay_volume
01/25/21 04:00 AM,33589.56,1429.02,456.48,139.99,108.45747234,9858281.17605374,4345965.69354189,188083.542771673,13129.938735,1.68952859
01/25/21 05:00 AM,33406.6,1424.75,451.6,140.13,109.31902538,4314437.48679614,6177810.7901324,177688.023954324,2448.760274961,38.02922859
01/25/21 06:00 AM,33374.43,1441.99,457.16,139.65,110.44851363,4242372.95901792,3337141.89022399,198306.994883844,2706.5051697214,100.82882233
01/25/21 07:00 AM,33508.8,1429.84,455.75,141.48,110.2209931,5629170.33768278,4619622.84705848,487655.837402841,2923.5577714369,0.73996915
01/25/21 08:00 AM,33388.27,1426.03,452.8,139.61,111.46032569,15882550.8973163,11167361.2944692,102437.613519858,4919.62152515,78.69134171
01/25/21 09:00 AM,33442.19,1424.34,453.03,139.8,112.12117385,19843525.7961126,5655738.15917007,172475.179272252,78567.5108336695,56.36044791
01/25/21 10:00 AM,32984.18,1391.43,443.57,138.85,110.6,6664456.0073583,6440643.48952455,79415.8045529753,5174.6968528432,39.57057917
01/25/21 11:00 AM,33131.65,1404.16,448.87,140.15,110.52821165,6818833.72739781,6103581.6273124,71478.971361117,5555.2695354244,11.69854763
01/25/21 12:00 PM,33208.36,1413.83,450.49,140.35,109.78055937,22963284.0932639,10859668.5511373,185753.656783013,28533.9908078235,39.41083962
01/25/21 01:00 PM,34192.82,1428.03,458.96,142.06,109.17605834,31892481.0811945,7749894.62274385,295030.153735304,32892.8733761243,0
01/25/21 02:00 PM,34572.61,1418.02,460.56,143.84,108,24159617.5774878,9751859.78847601,314802.494246588,37180.448472366,521.67705827
01/25/21 03:00 PM,34473.11,1405.44,455.23,143.32,108.39973438,7281931.28509508,5721264.08931733,167693.949912308,10056.498374232,0
01/25/21 04:00 PM,34494.46,1437.35,459.83,144.1,108.1395,28718004.9848674,15138574.7148824,325875.867890113,394956.472415862,19.1305917
01/25/21 05:00 PM,33903.87,1405,449.94,143.48,106.3,15815990.9323564,10475149.7183796,144682.321769262,8361.9291919829,64.96997508
